branch	commit	purpose
exp/adaptive-compile-reoptimization	44c81d1	Measure adaptive compile reoptimization headroom
exp/aging-aware-frontier	2b2f495	Evaluate soft-fair frontier schedulers
exp/answer-semantic-judge	e2cb937	Document semantic transition sensitivity
exp/answer-time-to-correct	1fc5b43	Record IRPAPERS format repair no-go
exp/anytime-metrics	e67bfc3	Define unified anytime index metrics
exp/b32-scoring-ablation	f5b04c1	Measure B32 scoring ablations
exp/benchmark-transfer	9e268dd	Replay IRPAPERS frontier quality trajectories
exp/cagr-bounded-wait	af893b8	Report bounded CaGR Finance counterexample
exp/cagr-faithful-baseline	a3cd197	Evaluate faithful CaGR scheduler baseline
exp/cagr-strong-adaptation	7fd795f	Report strong CaGR adaptation infeasibility
exp/capacity-warmstart	8a5bcae	Evaluate finite-cache warm-start trajectories
exp/causal-cost-robustness	a9cd66d	Evaluate causal scheduler cost robustness
exp/causal-hard-frontier	29448fd	Materialize causal hard frontier
exp/cost-locality-frontier	3e2d33c	Evaluate marginal-cost frontier
exp/counterfactual-slowdown	e646106	Correct slowdown with FIFO counterfactual demand
exp/cross-domain-cascade-feasibility	d15f525	Evaluate cross-domain cascade policy transfer
exp/deadline-constrained-locality	b3b4662	Report deadline locality no-go
exp/dependency-structure-ablation	01c0bd1	Identify dependency sharing and persistence mechanisms
exp/edgerag-faithful-baseline	8f5b21a	Evaluate EdgeRAG-faithful page baseline
exp/fair-locality-baselines	ec900ca	Measure fair locality closest baselines
exp/fairness-metric-audit	28ac077	Report fairness metric validity audit
exp/frontier-constrained-locality	225be9a	Report constrained locality tail failure
exp/frontier-scale	5cca66f	Benchmark exact frontier scheduler at scale
exp/hard-fair-joint-tail	a1291fe	Audit B32 joint user tails across five domains
exp/hard-fair-oracle	e05fe87	Enforce selection-first transfer provenance
exp/incremental-causal-control-plane	b375224	Optimize causal control plane exactly
exp/mmdocir-phase-instrumentation	5753ce6	Instrument MMDocIR physical batch phases
exp/mmdocir-physical-artifact	36df7e3	Add auditable MMDocIR physical trace contract
exp/mmdocir-pool-parallelism	039f1dc	Aggregate multidomain MMDocIR physical runs
exp/mmdocir-reload-instrumentation	f545eeb	Trace MMDocIR reload and activation phases
exp/modern-retriever-transfer	972ceef	Validate frontier transfer with ColModernVBERT
exp/multilevel-representation-compiler	88bf45d	Audit multilevel representation compiler headroom
exp/multiobjective-oracle-headroom	ad11bbd	Probe multi-objective oracle headroom
exp/omni-col-press-tier-baseline	e15476c	Record Pharma and Industrial Omni matrix
exp/partial-vlm-materialization-audit	036c741	Bind sharded Full evidence in physical summaries
exp/prefix-feedback-plan-selection	39d1fbe	Evaluate served-prefix plan selection
exp/residency-aware-cascade	45bfc93	Test residency-aware plans across retrievers
exp/revision-safety	e439efc	Replay revision safety on current traces
exp/scheduler-baselines	a8009ca	Add strong scheduler baseline replay
exp/signed-prefix-feedback-headroom	f55d343	Evaluate signed prefix feedback headroom
exp/structured-citation	20336f7	Record structured citation held-out no-go
exp/time-aligned-quality	887eaa2	Audit time-aligned quality reports
exp/value-aware-frontier	afb1c54	Evaluate qrel-free value-aware frontier
exp/value-aware-materialization-compiler	548b4db	Measure persistent visual feature cache I/O
exp/vidore-domain-matrix	22780c1	Record ViDoRe v3 cross-domain matrix go
exp/windowed-arrivals	da021d6	Evaluate frontier scheduling under bounded arrivals
exp/workload-physical-plan-selector	51014c3	Evaluate workload physical plan selection
local-research-history	e948abe	Curate the ReprForge research snapshot
main	6d10439	Consolidate fourth-round paper decisions
protocol/rbrc-v0-freeze	f3c92f8	Record RBRC v0 method-heldout failure
research/anytime-index-base	9b07b67	Synthesize causal frontier evidence matrix
research/benchmark-scale-matrix-2026q3	de1f255	Add benchmark scale decision matrix
research/closest-work-audit	56003ee	Audit closest work and novelty risks
research/latest-rag-index-landscape-2026q3	40d438b	Map latest RAG index research landscape
research/online-index-compiler-integration	6d10439	Consolidate fourth-round paper decisions
research/vars-doc-compiler-feasibility	f8cc1b8	Audit VaRS-Doc compiler feasibility
